ID,Name,Link,EIN,Overall Rating,Program Expenses,Administrative Expenses,Fundraising Expenses,Fundraising Efficiency,Working Capital Ratio (years),Program Expenses Growth,Liabilities to Assets,Independent Voting Board Members,No Material diversion of assets,Audited financials prepared by independent accountant,Does Not Provide Loan(s) to or Receive Loan(s) From related parties,Documents Board Meeting Minutes,Provided copy of Form 990 to organization's governing body in advance of filing,Conflict of Interest Policy,Whistleblower Policy,Records Retention and Destruction Policy,CEO listed with salary,Process for determining CEO compensation,Board Listed / Board Members Not Compensated,Donor Privacy Policy,Board Members Listed,Audited Financials,Form 990,Key staff listed
29,Abby's House - MA,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15570,04-2648411,91.14,0.7970,0.0950,0.1070,0.12,2.67,0.0520,0.1640,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
30,Abilities United - CA,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7940,94-1546643,79.21,0.7060,0.2180,0.0740,0.12,0.43,-0.0510,0.0750,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
31,The Ability Experience - NC,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7632,58-1588777,86.99,0.7700,0.1410,0.0870,0.08,1,0.0290,0.0980,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
32,Abode Services - CA,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9182,94-3087060,94.69,0.9140,0.0620,0.0220,0.02,0.55,0.3160,0.3060,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
33,The Abraham Fund Initiatives - MA,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9371,13-3556715,85.76,0.7720,0.1400,0.0860,0.08,0.53,-0.1980,0.0630,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
34,Abraham House - NY,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11870,13-3721924,80.76,0.7790,0.1710,0.0490,0.06,2.87,-0.0860,0.0340,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
35,The Abraham Lincoln Foundation - PA,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14731,23-2822856,77.53,0.7470,0.1430,0.1090,0.11,3.46,0.1160,0.0330,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
36,Abraham Lincoln Presidential Library Foundation - IL,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15194,36-4385644,77.97,0.6970,0.1270,0.1750,0.23,7.23,0.0070,0.3180,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
37,Abused Deaf Women's Advocacy Services - WA,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12762,91-1339173,85.49,0.8560,0.0450,0.0980,0.10,2.03,-0.0190,0.1830,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
38,Academy Art Museum - MD,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13578,52-6051766,79.9,0.5860,0.2990,0.1140,0.14,4.41,0.0020,0.0370,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
39,Academy of Achievement - DC,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5705,75-6042129,83.43,0.8950,0.0530,0.0510,0.04,1.08,-0.0270,0.3190,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
40,Academy of American Poets - NY,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9256,13-1879953,84.97,0.7390,0.1370,0.1230,0.16,2.78,-0.0270,0.0170,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
41,Academy of Fine Arts - VA,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14568,23-7061145,79.58,0.6730,0.1510,0.1740,0.04,23.62,0.1740,0.0260,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
42,Academy of Hope Adult Public Charter School - DC,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14729,52-1730021,84.67,0.8090,0.1260,0.0640,0.24,0.37,0.4220,0.7180,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
43,The Academy of Natural Sciences of Drexel University - PA,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3209,23-1352000,88.54,0.7820,0.1590,0.0580,0.09,0.98,0.0340,0.1930,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
44,Academy of Nutrition and Dietetics Foundation - IL,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8467,36-6150906,90.16,0.7390,0.1640,0.0960,0.11,4.61,0.0430,< 0.1%,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
45,Academy of Television Arts & Sciences Foundation - CA,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9103,95-2283284,76.12,0.3570,0.6020,0.0400,< $0.01,11.3,0.0310,0.3620,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
46,Academy of Vocal Arts - PA,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6064,23-1352001,86.47,0.7400,0.1590,0.0990,0.12,4.19,0.0200,0.0880,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
47,Acadia Center - ME,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10838,01-0518193,94.88,0.8960,0.0570,0.0450,0.03,1.97,0.0180,0.0040,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
48,ABC² (Accelerate Brain Cancer Cure) - DC,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8965,52-2320756,79.97,0.5590,0.1430,0.2960,0.30,1.34,0.3430,0.1530,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
49,Accelerated Cure Project for Multiple Sclerosis  - MA,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10907,04-3555864,88.05,0.7840,0.1070,0.1070,0.09,0.71,-0.0200,0.0740,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
50,ACCESS - OH,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15263,34-1395246,87.41,0.7900,0.1460,0.0630,0.05,1.24,0.0210,0.0420,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
51,ACCESS College Foundation - VA,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7859,54-1440734,93.57,0.7490,0.1070,0.1420,0.12,4.44,0.0880,0.0020,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
52,Access Fund - CO,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9311,94-3131165,87.8,0.7530,0.0790,0.1660,0.19,1.09,0.1600,0.1520,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
53,Accion East  - NY,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7754,11-3317234,92.29,0.8190,0.0900,0.0900,0.10,1.62,0.1220,0.5790,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
54,ACCION International - MA,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3211,13-2535763,89.54,0.7810,0.1490,0.0690,0.17,10.17,-0.0480,0.0170,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
55,ACCION New Mexico - NM,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7904,85-0417347,93.98,0.9130,0.0310,0.0550,0.09,1.64,0.2740,0.7350,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
56,ACCION San Diego - CA,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7806,33-0620415,94.74,0.9350,0.0490,0.0140,< $0.01,4.69,0.2220,0.1640,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
57,ACE Scholarships - CO,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11257,84-1531066,96.35,0.8450,0.0480,0.1060,0.09,1.02,0.2170,0.0620,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
58,Achievement Centers for Children - OH,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6917,34-0714766,90.21,0.8170,0.1280,0.0530,0.20,2.35,0.0460,0.0900,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
59,Achievement Centers for Children & Families Foundation - FL,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10383,65-1023099,88.42,0.7760,0.0820,0.1410,0.16,4.99,0.2110,0.1710,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
60,Achievement First - CT,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12696,65-1203744,84.01,0.9130,0.0660,0.0200,0.04,0.19,0.0810,0.5230,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
61,AchieveMpls - MN,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11058,41-1425264,88.22,0.9040,0.0640,0.0310,0.04,1.57,-0.0240,0.0720,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
62,Achilles International - NY,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10407,13-3318293,89.04,0.8770,0.0730,0.0490,0.06,0.34,-0.0080,0.0020,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
63,ACLU Foundation of Maryland - MD,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13579,23-7209538,88.18,0.7910,0.1110,0.0960,0.12,1.42,-0.0150,0.1050,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
64,ACLU Foundation of Massachusetts - MA,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15006,23-7312949,91.65,0.7240,0.1220,0.1530,0.16,2.37,0.1330,0.0560,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
65,ACLU Foundation of Southern California - CA,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=17074,95-2673361,89.24,0.8570,0.0710,0.0700,0.05,2.71,0.3020,0.2600,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
66,ACLU of Michigan Foundation - MI,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15108,23-7243421,84.51,0.7310,0.0780,0.1890,0.15,3.06,0.1110,0.0980,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
67,Acres of Love - CA,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13171,33-0930465,78.51,0.8440,0.0730,0.0820,0.09,0.02,-0.0720,0.6910,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
68,Act Beyond - TX,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5766,27-1928559,84.21,0.8070,0.1420,0.0490,0.04,0.38,0.0300,0.4270,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
69,Acterra - CA,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10825,23-7064937,90.34,0.7810,0.0920,0.1260,0.15,0.42,0.0630,0.0600,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
70,The Acting Company - NY,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=17335,13-2759292,76.11,0.6900,0.2480,0.0600,0.07,0.21,0.0280,0.2340,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
71,Action Against Hunger USA - NY,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3212,13-3327220,94.16,0.8670,0.1140,0.0180,< $0.01,0.82,0.0780,0.2280,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
72,The Action Center - CO,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8861,23-7019679,86.81,0.9290,0.0160,0.0530,0.05,0.4,0.0140,0.2740,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
73,Action for Healthy Kids - IL,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11020,47-0902020,95.85,0.8490,0.0600,0.0900,0.08,0.64,0.1100,0.1850,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
74,Action in Community Through Service - VA,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7153,54-0897679,87.44,0.8410,0.1440,0.0140,< $0.01,0.69,-0.0270,0.2700,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
75,Action Ministries - GA,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12729,58-2070427,89.73,0.8260,0.1190,0.0530,0.05,0.18,0.0420,0.1340,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
